asv	T.0.Dry.Soil.A	T.0.Dry.Soil.B	T.1.H218O.A	T.1.H218O.B	T.1.H218O.C	T.1.H218O.P.A	T.1.H218O.P.B	T.1.H218O.P.C	T.1.H2O.A	T.1.H2O.B	T.1.H2O.C	T.1.H2O.P.A	T.1.H2O.P.B	T.1.H2O.P.C	T.2.H218O.A	T.2.H218O.B	T.2.H218O.C	T.2.H218O.P.B	T.2.H218O.P.C	T.2.H2O.A	T.2.H2O.B	T.2.H2O.C	T.2.H2O.P.A	T.2.H2O.P.B	T.2.H2O.P.C	T.3.H218O.B	T.3.H218O.C	T.3.H218O.P.A	T.3.H218O.P.B	T.3.H218O.P.C	superkingdom	phylum	class	order	family	genus	species
d1c6bdba966d0197fcc99900ba0796d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	Eukaryota	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Ditangium	Ditangium altaicum
1e1a1beff1aba870102b7743d9d5ba0d	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma pruinosum
c70f03e7ca720c81569a4b384fefb9a8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis dimorpha
62c1a058aedc6777469f4173e0fdb5b3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor atramentarius
4727713431df3fad1a96e01b296a4cb7	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	NA	Coralloidiomyces	Coralloidiomyces digitatus
55c6dc17d732634a9e8b668d350933bf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	2	0	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium raffinophilum
107a9ca3e84005adeaeb8ae5a6fb087b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Occultibambusaceae	Neooccultibambusa	Neooccultibambusa thailandensis
ca0aacf7a6cad6b8c327121fe11c49e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylellina	Dactylellina appendiculata
8999f06fde928ebd3042da9df3aca9a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	Eukaryota	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	NA	Hyaloraphidium	Hyaloraphidium curvatum
a997f0c77aacee956d61ba72b22e42e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Thelonectria	Thelonectria nodosa
d5069fb2b2adeaf7388f6808635fc8ea	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Triparticalcar	Triparticalcar equi
4d26f5ee1970a51eea13d365fe3be3ef	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	Eukaryota	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	Tilletia puccinelliae
1ac5cf2a315c4c7342663c6658212d70	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	Eukaryota	Ascomycota	Leotiomycetes	Chaetomellales	Chaetomellaceae	Chaetomella	Chaetomella zambiensis
92509ae5788e28a15e62250ad7a0c6ba	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Neocamarosporium	Neocamarosporium lamiacearum
30e63edc6146c61c215109b626d5b854	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Boothiomyces	Boothiomyces macroporosus
3804eae29ede646b7b79ea6eabcb648b	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora nyingchiensis
b7eb65f7cf3698bd3fe1788d5d6ed7fb	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis moniliformis
de68310dd66720a299dde05745a1d1e7	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Harzia	Harzia cameroonensis
155e1d9bf846e58877bac0c0007fe3ba	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	NA	Occultifur	Occultifur externus
9eb0ee92cb86161eb126a1d2ce29329a	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	Eukaryota	Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Echinusitheca	Echinusitheca citrispora
2aebfb366f2f09cef9d4074515720663	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	Eukaryota	Ascomycota	Sordariomycetes	Coronophorales	Ceratostomataceae	Dactylidispora	Dactylidispora singaporensis
7e11ce6b94104ba8bd14b27d67ea459d	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terrea
0c31359295cb9c0304f82a2273433d04	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha bicolor
a15538ba53a56267765ccf70cf51ac89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Porotheleaceae	Trogia	Trogia venenata
2307606ce8e53eb2f8757c4c7f8712a8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
8f28e80c260b9959fa8176316c5ec1ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria dennisii
d96a4de0b04fba9e3b49541e7862f732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Eriomyces	Eriomyces heveae
840af938530ca3f2bb25a33e70590666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	Eukaryota	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora hondurensis
a5e914d4b4f00304bd5c651332d5b56d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria	Genolevuria armeniaca
6996be5a7a99298651ad9d01e2f7f06a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia procaviae
c06ff16628e724cf248570e522c1ab96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia epipora
655d53ecec86044cb77adbd068f5e304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	Eukaryota	Ascomycota	Dothideomycetes	Microthyriales	NA	Neoscolecobasidium	Neoscolecobasidium agapanthi
53abf45703ea3b4fa939932cda035da7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Basidiomycota	Cystobasidiomycetes	NA	NA	Buckleyzyma	Buckleyzyma kluyveri-nielii
18b5fc332ddd6bdb62ef0316c7479c74	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	Eukaryota	Chytridiomycota	Chytridiomycetes	NA	Quaeritorhizaceae	Quaeritorhiza	Quaeritorhiza haematococci
6582cf55ead68c25b9b03a62872af656	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Zoopagomycota	Harpellomycetes	Harpellales	Legeriomycetaceae	Zancudomyces	Zancudomyces culisetae
1ff4ca51dd3598e197a9800149a7f2e5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Otidea	Otidea stipitata
