Contig	T0.R.Dry.soil.A	T0.R.Dry.soil.B	T0.R.Dry.soil.C	T1.R.H218O.A	T1.R.H218O.B	T1.R.H218O.C	T1.R.H218O.P.A	T1.R.H218O.P.B	T1.R.H218O.P.C	T1.R.H2O.A	T1.R.H2O.B	T1.R.H2O.C	T1.R.H2O.P.A	T1.R.H2O.P.B	T1.R.H2O.P.C	T2.R.H218O.A	T2.R.H218O.B	T2.R.H218O.C	T2.R.H218O.P.A	T2.R.H218O.P.B	T2.R.H218O.P.C	T2.R.H2O.A	T2.R.H2O.B	T2.R.H2O.C	T2.R.H2O.P.A	T2.R.H2O.P.B	T2.R.H2O.P.C	T3.R.H218O.A	T3.R.H218O.B	T3.R.H218O.C	T3.R.H218O.P.A	T3.R.H218O.P.B	T3.R.H218O.P.C	T3.R.H2O.A	T3.R.H2O.B	T3.R.H2O.C	T3.R.H2O.P.A	T3.R.H2O.P.B	T3.R.H2O.P.C	Class	Order	host	Phylum
T1-R-H2O-B_NODE_29732_length_701_cov_2.087302	0	0	0	70.20054	0	0	0	0	0	0	259.4169	0	64.07307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.98675	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H2O-B_NODE_31715_length_688_cov_4.460292	116.39081	0	0	0	81.71633	0	0	0	0	0	0	0	0	0	142.0694	0	0	209.75371	0	0	0	0	0	0	67.41793	0	0	0	441.05246	0	0	0	0	0	0	0	420.00458	72.81787	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-B_NODE_34166_length_674_cov_6.077944	0	0	0	0	166.82741	0	0	0	0	313.90485	1286.7814	0	0	0	48.340134	0	0	0	0	0	0	212.84154	0	0	0	0	0	0	0	0	0	0	0	155.92555	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-B_NODE_34957_length_670_cov_3.352254	0	0	0	0	0	0	162.21973	0	0	332.39883	626.35333	340.02872	0	0	0	0	0	0	0	0	0	428.22446	213.3212	115.38081	0	0	0	0	0	0	0	0	0	639.4917	0	239.84413	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-B_NODE_35537_length_667_cov_4.003356	0	0	0	0	0	0	93.113914	0	0	0	817.92163	303.6072	0	0	0	0	369.07516	0	0	0	146.59933	0	0	0	0	93.67555	91.651306	0	0	0	0	0	0	169.6821	0	190.20227	0	0	0	Duplopiviricetes	Durnavirales	NA	Pisuviricota
T1-R-H2O-B_NODE_37208_length_659_cov_2.636054	0	0	0	0	0	0	0	0	0	0	127.36167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-B_NODE_37373_length_658_cov_4.339012	0	0	431.89413	0	0	0	0	0	0	0	701.5538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.8263	0	0	0	0	0	0	0	0	322.94028	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-B_NODE_37982_length_655_cov_4.272260	0	0	0	0	0	0	0	0	0	0	341.7052	0	0	0	223.84062	0	0	0	0	65.731705	85.30578	0	0	147.5289	53.110916	0	0	0	154.42447	0	0	0	31.56315	0	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-B_NODE_41556_length_640_cov_2.098418	0	0	0	0	0	0	0	0	0	0	87.42848	0	0	0	0	0	0	0	0	0	0	81.50863	178.65651	0	0	251.04208	0	0	0	0	0	0	0	277.8923	0	237.8717	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-B_NODE_43985_length_630_cov_1.985689	0	0	0	0	0	0	0	0	0	0	177.63248	120.5393	83.17634	65.1361	0	0	0	0	0	0	0	0	0	0	0	0	0	68.892555	0	0	0	0	0	0	0	0	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H2O-B_NODE_44786_length_627_cov_1.922662	0	0	0	0	0	0	0	0	0	0	200.79268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.87357	0	0	0	0	0	0	0	0	0	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T1-R-H2O-B_NODE_47302_length_618_cov_1.394881	0	0	125.41321	0	136.45834	0	0	216.82831	74.627205	162.16545	226.35207	225.27975	0	0	0	0	72.42516	0	0	0	79.11145	126.61534	0	46.908463	75.05426	129.98943	0	0	409.1749	0	0	0	0	0	125.03365	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
