Contig	T0.R.Dry.soil.A	T0.R.Dry.soil.B	T0.R.Dry.soil.C	T1.R.H218O.A	T1.R.H218O.B	T1.R.H218O.C	T1.R.H218O.P.A	T1.R.H218O.P.B	T1.R.H218O.P.C	T1.R.H2O.A	T1.R.H2O.B	T1.R.H2O.C	T1.R.H2O.P.A	T1.R.H2O.P.B	T1.R.H2O.P.C	T2.R.H218O.A	T2.R.H218O.B	T2.R.H218O.C	T2.R.H218O.P.A	T2.R.H218O.P.B	T2.R.H218O.P.C	T2.R.H2O.A	T2.R.H2O.B	T2.R.H2O.C	T2.R.H2O.P.A	T2.R.H2O.P.B	T2.R.H2O.P.C	T3.R.H218O.A	T3.R.H218O.B	T3.R.H218O.C	T3.R.H218O.P.A	T3.R.H218O.P.B	T3.R.H218O.P.C	T3.R.H2O.A	T3.R.H2O.B	T3.R.H2O.C	T3.R.H2O.P.A	T3.R.H2O.P.B	T3.R.H2O.P.C	Class	Order	host	Phylum
T0-R-Dry-soil-A_NODE_1_length_9631_cov_21.758159	3632.3936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330.86502	0	0	0	0	0	0	0	0	0	0	0	0	0	Pisoniviricetes	Picornavirales	NA	Pisuviricota
T0-R-Dry-soil-A_NODE_2_length_8200_cov_20.309263	2968.7036	1509.7423	491.4974	3487.75	2200.84	1287.1307	4154.351	1058.4231	8612.274	0	750.6055	0	2405.5203	321.53006	303.9592	4340.3496	867.8831	3317.383	286.74097	2163.2146	1521.2388	139.95628	500.8192	260.4335	137.1708	85.993835	106.60723	965.966	1319.8584	2129.442	6787.438	1813.3339	284.26563	0	339.2376	966.44244	898.6049	543.7541	2746.3262	Alsuviricetes	Tymovirales	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_5_length_4628_cov_25.952381	3391.3284	2795.8389	3770.878	5800.4263	7051.9004	7125.8735	5359.545	5100.388	3485.379	10242.704	12465.171	10958.318	8559.902	7521.298	5716.503	7941.0474	7028.6133	12218.168	5736.576	3794.0723	4489.7627	14844.856	14323.402	9848.974	6523.3105	6270.1465	6529.2266	7122.742	10591.803	4926.0903	4268.0225	4192.772	3975.7432	12524.479	16335.311	8362.631	4352.099	4254.2754	3124.8047	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_6_length_4351_cov_29.963551	3568.1233	1089.6261	754.0934	825.6429	1153.2313	1206.4751	738.689	1262.6973	686.33527	731.9497	1475.6947	1660.9823	602.1729	1103.4663	2733.2007	1565.2592	1069.8483	1287.9935	891.9207	585.4695	422.17883	266.76233	361.33698	724.0139	692.92804	441.06583	286.6194	1660.879	2350.8604	1947.9791	661.1655	2758.7043	899.2252	501.65887	910.16504	622.0298	5274.4526	743.8234	991.79	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_8_length_3991_cov_168.650255	27099.432	404.46387	388.40073	250.7179	183.12975	0	66.137474	108.474754	0	131.13554	0	164.90717	120.04402	0	0	0	658.87665	1289.6708	0	0	0	182.99106	128.92276	159.8014	91.523506	0	55.142345	0	396.0005	105.69303	0	0	0	149.89384	0	135.62773	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_12_length_3797_cov_18.981213	2944.623	0	374.2248	231.12686	0	202.53265	118.5872	298.61606	0	0	272.62396	0	0	0	111.55023	591.23615	895.88226	0	0	190.87355	0	0	675.0396	862.7351	123.68535	0	2002.8308	768.71356	0	539.96466	255.56868	0	283.12903	212.9086	676.6537	0	243.73535	211.10855	1674.1942	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_13_length_3793_cov_64.481193	5027.236	9570.466	1484.8553	35252.66	759.64087	0	0	0	0	6954.8306	162.2717	0	3708.3972	0	949.17694	0	1539.9464	0	0	0	543.21155	0	0	221.64339	0	0	119.26509	0	0	0	0	0	0	0	0	0	3206.904	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_14_length_3759_cov_25.078362	4055.503	476.76517	429.55438	0	0	0	0	0	0	0	0	222.22327	0	0	95.34284	0	288.74692	0	0	0	0	0	0	0	89.46012	0	0	0	0	0	0	422.41473	138.87074	0	138.75443	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_15_length_3692_cov_10.814692	1531.8064	4606.2993	1228.0779	404.31226	708.09015	537.33466	569.8467	201.01659	168.63889	696.7141	894.1765	716.4775	561.64307	208.402	295.6316	3221.303	445.52658	1009.75696	451.3647	151.59953	134.31558	1338.7549	5081.6133	706.6762	252.83548	222.42325	142.39714	161.64185	249.99345	273.67502	147.74864	0	106.393135	2631.9436	2467.0354	918.6138	159.70778	138.40918	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_16_length_3550_cov_11.920954	1908.8748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048.0337	0	0	0	309.26306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_18_length_3503_cov_23.938228	2968.8792	1995.6311	1497.1537	1126.1914	834.56555	2303.4827	1167.941	2203.9553	1125.6714	1544.9003	1892.828	1322.3881	769.31586	1335.4481	1474.2014	1548.1388	1114.8162	1929.3589	1348.9523	772.2647	1160.4131	2099.7253	2502.449	1624.7762	719.9842	1006.4935	521.78973	941.643	1404.0316	1209.7712	1083.485	1448.2068	147.54399	876.95496	730.6865	1219.2745	227.40543	417.60834	3753.0417	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_19_length_3402_cov_13.428700	2133.1472	0	0	0	0	262.08505	0	0	0	0	0	0	0	0	0	244.6759	92.09619	0	0	189.83363	98.54548	364.17728	0	0	0	367.3227	0	0	862.22595	0	0	0	0	0	0	427.60663	0	0	0	Amabiliviricetes	Wolframvirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_20_length_3361_cov_22.715502	2403.3784	1467.3069	2625.0203	1361.6733	1313.102	3498.408	988.6115	1364.7484	1169.7997	2995.051	2846.8235	2997.5227	1461.0923	2115.276	2433.1726	2795.5635	2816.5654	3535.1292	1575.7448	1291.6707	2736.8252	4400.156	6310.6514	2708.325	2478.9177	2119.2805	1316.8446	4936.189	4578.1445	3125.9397	3244.2778	2714.5044	652.01715	2806.9595	3051.9778	3565.7559	1214.1116	2362.5835	7942.8594	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_21_length_3306_cov_32.135085	2555.3872	1522.4746	1719.2155	1247.8788	875.7934	2990.2488	1350.2539	1480.9891	1388.0525	1104.7788	1324.3855	1454.7845	819.68695	1871.1852	1103.7809	1880.7264	1780.3314	2080.7026	1353.3796	824.79443	1005.61993	1499.0093	2118.371	2157.108	904.9419	1128.5674	464.1254	1568.8372	2168.4412	1637.932	1182.785	1681.0343	240.75734	1318.0132	1560.1407	1335.4202	601.20935	1012.2785	3663.2244	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_27_length_3184_cov_23.543848	2857.6428	1756.4562	5229.5024	731.5643	878.45056	2390.75	1131.3457	411.14194	420.05927	1507.3307	1379.5249	1637.7292	557.2083	1449.9125	1043.7461	1113.0504	1303.8235	611.8695	659.6008	342.5591	789.6947	999.4023	1825.4684	773.90125	537.1837	285.9441	311.033	753.13367	937.1441	659.32623	593.3137	418.3998	110.38181	723.6118	1277.128	496.7282	372.8304	766.27094	471.1978	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_36_length_2954_cov_21.128339	2890.3848	2616.0789	2527.5388	1032.8558	2578.8499	1995.8676	467.7997	547.83563	917.2401	1805.6323	1718.973	2665.004	560.0465	1038.396	452.211	2390.8872	2113.6917	2410.061	1174.6257	289.06894	803.89294	2198.5808	3038.491	2005.2495	286.56046	525.76636	527.7086	539.9576	830.34515	2078.8516	896.09076	0	304.4391	2681.942	2599.4531	761.59033	445.48203	396.85492	973.8836	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_49_length_2743_cov_7.346931	1083.7966	1339.1516	1690.6323	310.96735	389.42615	276.29282	356.61136	713.9847	189.1526	864.6853	846.55505	950.5158	564.91986	942.4906	564.2032	1066.7036	836.269	1043.4413	794.7746	633.0741	325.92218	1820.9437	1941.7958	1370.3838	771.50885	956.6995	372.1818	1305.3921	1230.702	543.5975	822.67505	696.6135	640.6411	766.2692	1690.2107	1695.8489	472.6319	553.40515	259.3801	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_51_length_2708_cov_46.506257	5215.4946	2534.5613	5080.2075	1378.0658	1666.0718	5309.1816	1751.6323	2162.0251	1528.5211	1213.0471	3765.7527	2752.8628	1727.7212	2049.5142	3007.87	4457.023	3855.2358	3748.0955	2318.1975	1653.4874	1792.5278	5480.462	4802.878	4949.3276	2256.6584	2267.743	1675.0189	3526.0366	5780.154	2858.1694	3030.0173	2454.7524	790.1569	2134.4756	2660.8206	2036.3348	771.46436	2362.4827	7425.049	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_52_length_2708_cov_35.216155	3086.4192	1511.3496	3191.2288	563.3412	238.7517	662.6188	647.9033	289.2851	370.42154	5464.88	490.73593	556.1811	550.10645	765.253	406.06247	968.71545	880.1342	710.5394	354.05197	169.58846	335.29297	683.8537	475.0099	1088.3524	190.55273	642.7468	345.38803	993.7013	2203.7422	137.65582	195.0746	253.42584	322.55197	202.99907	599.2196	1508.512	165.8288	122.10169	297.00192	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_55_length_2686_cov_5.345698	782.58307	255.5321	355.88214	335.88754	910.5012	195.01965	75.148056	280.14185	231.79997	443.59036	822.8563	753.9316	741.3409	492.7039	463.97348	0	295.781	2319.213	475.93585	112.20398	0	1107.0122	535.6592	2942.8333	209.38211	262.5277	159.31496	472.6424	790.8074	168.00084	141.09105	0	134.6957	246.79802	747.96747	340.06976	142.47243	246.20357	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_56_length_2684_cov_62.595867	4426.7534	3367.0132	2858.8044	342.24945	743.6064	552.2754	381.8052	568.382	343.66327	194.99327	177.20229	0	440.67346	0	443.07587	338.32303	312.67752	636.2425	212.62968	609.5612	239.40605	0	0	0	0	156.30373	113.88119	517.4642	372.14487	321.63242	132.63885	0	129.01909	0	0	0	0	95.194984	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_60_length_2623_cov_430.309561	54802.895	47701.39	64981.785	11331.754	30623.527	18772.146	15109.424	18497.244	10395.814	13457.527	14708.518	13336.985	10485.355	16211.7	14604.425	13770.709	14320.924	11590.326	15887.295	10775.878	12277.972	12121.573	14461.4375	11914.069	6425.7026	9436.385	5271.7983	23049.72	18880.902	16522.93	11963.367	11163.232	3929.059	9193.668	12582.649	16186.603	4458.711	5783.41	14576.552	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_62_length_2611_cov_32.782283	4746.034	4780.3794	1716.7345	0	0	0	166.50665	0	0	392.3605	557.18494	164.81242	235.09819	0	124.78456	154.56982	0	0	297.26132	164.89572	0	119.87482	145.97238	77.71964	106.58798	0	0	207.78583	581.0879	172.82661	0	0	0	247.69482	488.30643	136.04816	92.72473	69.07518	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_76_length_2487_cov_5.087334	760.682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Monjiviricetes	Mononegavirales	Eukaryotes	Negarnaviricota
T0-R-Dry-soil-A_NODE_88_length_2426_cov_48.577919	1790.672	1545.571	2188.4243	432.73938	260.7108	395.08832	569.6127	293.16995	237.63196	605.88116	409.39307	438.23434	169.71263	304.46964	684.9315	358.70706	0	971.588	879.8066	730.5857	195.77078	284.9106	188.5246	159.32634	193.58337	154.52989	173.86926	599.3311	463.83838	169.83145	125.443054	1852.6144	132.08775	186.60834	414.06445	446.24097	338.01755	165.20592	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_97_length_2355_cov_3.759194	833.07153	555.9094	844.71515	174.1351	352.12625	373.8718	197.79294	0	146.87775	718.7155	285.1171	279.4669	149.39952	200.38687	121.0556	224.92615	0	326.81796	0	0	118.63118	193.82094	242.76044	184.64604	103.40278	155.39857	127.194885	0	375.8154	0	60.955185	0	0	137.31023	0	337.58813	129.33452	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_113_length_2264_cov_11.460100	1790.5883	269.47754	319.51563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_114_length_2252_cov_9.244842	1382.3218	908.6889	1238.9845	287.71732	268.3721	376.1246	589.4923	393.6327	312.31088	504.35474	695.7009	663.1802	595.0137	391.77106	1370.8141	739.24286	481.97144	801.01324	248.34998	280.40085	251.21548	526.9829	867.36725	780.94666	319.24725	237.81372	483.188	472.1832	522.13403	296.2103	303.41714	292.79056	222.62044	2257.959	703.3976	570.85455	209.81078	177.9705	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_129_length_2198_cov_11.081335	1220.4619	1098.7114	852.15936	533.59973	498.77444	0	173.06882	792.5381	178.35153	0	254.56883	0	211.15741	0	296.46268	1141.8445	921.4437	667.4965	0	159.9681	114.39435	409.3973	95.37018	0	313.9013	0	88.99934	0	0	0	154.12953	287.7395	91.70617	198.60945	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_136_length_2188_cov_3.232404	356.8325	0	301.09488	0	0	331.09497	163.21533	692.51807	995.95593	0	0	0	0	0	171.24515	812.7432	240.36348	0	187.79826	147.58092	0	292.06018	0	512.30554	421.33124	179.49791	159.25462	203.32434	219.58554	107.60279	805.6615	522.75836	77.95219	133.01143	0	0	310.53653	457.94055	134.31079	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_137_length_2186_cov_6.534279	979.89764	0	484.55624	0	0	305.90576	0	0	0	305.63666	0	0	0	0	0	0	0	0	0	91.91213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.02567	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_143_length_2171_cov_5.646190	885.23486	790.3722	2034.9174	464.6784	595.61456	651.97424	393.35373	693.193	1439.2462	133.3576	393.0456	297.32285	320.67523	132.31238	468.9839	1185.0916	432.94968	1063.5508	1808.5688	317.3046	389.27393	2540.9968	899.7287	275.96262	801.1896	863.4029	870.088	734.70056	250.42409	465.4114	1089.6799	1258.2461	1185.5809	283.00076	133.47098	0	3046.943	1315.3503	983.1593	Duplopiviricetes	Durnavirales	Fungi	Pisuviricota
T0-R-Dry-soil-A_NODE_154_length_2131_cov_11.022330	446.2285	375.7637	0	1173.8798	1741.2366	1746.8256	2998.2427	1886.4366	2120.9395	4096.726	2501.0044	2054.9941	8002.258	8631.756	5630.2417	1225.0913	1097.4401	2279.8948	2656.6519	2700.573	2894.0566	2184.783	2588.8845	1491.8696	5893.1685	5939.458	6483.201	1008.1719	1370.5533	897.6577	2686.416	2828.9412	4474.81	1794.3679	2928.023	1726.4581	6272.4067	6065.4453	2605.6472	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_183_length_2054_cov_16.324760	2553.5713	1423.263	1735.7579	303.47324	410.57086	0	166.304	797.9172	291.89624	276.4866	0	172.53433	218.67198	0	226.03838	429.81262	555.67096	491.8081	0	0	136.01578	450.7975	129.88983	0	124.201294	0	56.548054	0	0	176.70992	123.00247	314.46344	80.52138	0	0	57.647156	178.7056	126.83213	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_239_length_1900_cov_19.504101	2639.376	414.759	278.74734	0	207.1294	0	130.75154	0	0	0	0	386.36017	0	194.37982	205.7763	0	465.25543	291.15286	0	0	0	0	0	0	137.31967	0	0	239.85484	0	0	0	736.56165	179.53618	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_258_length_1846_cov_22.577465	3361.8406	4034.815	4793.3525	2799.085	2626.786	2958.3594	3709.2603	3484.2876	2148.5842	1646.7788	3288.7507	3078.4534	1987.0403	2828.7095	2144.4321	3416.0159	2636.7898	6918.4634	2504.1465	2099.0706	2300.391	2331.341	1326.5359	1999.6321	1476.1824	1145.9633	2192.2534	4079.2527	3588.947	1530.4545	2049.8179	1574.5317	1198.3225	1423.264	1857.4711	1246.1991	780.5584	857.5942	2170.0647	Duplopiviricetes	Durnavirales	NA	Pisuviricota
T0-R-Dry-soil-A_NODE_281_length_1807_cov_14.406682	2226.8196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.85329	0	0	0	0	0	0	0	0	0	0	0	0	0	Tolucaviricetes	Tolivirales	Fungi	Kitrinoviricota
T0-R-Dry-soil-A_NODE_283_length_1807_cov_3.898041	642.5648	161.78096	271.64764	0	248.90244	0	150.36969	0	0	154.05867	0	0	0	0	0	362.93326	161.0027	372.68912	0	0	150.74266	165.99432	0	0	137.96983	202.52553	0	0	0	0	0	0	0	183.42543	0	154.45644	123.17639	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_297_length_1774_cov_7.511450	993.0616	1898.6722	1237.8722	309.7622	475.37347	351.82034	455.12442	517.1274	441.95792	778.34546	678.1375	1063.0424	628.74554	665.0381	688.72424	518.9802	302.76495	555.875	353.8714	149.66252	173.23228	279.35315	284.66876	381.2965	192.82895	0	234.3256	495.43216	342.1016	143.77367	187.73097	303.4141	203.94174	410.1311	653.3607	190.7026	110.0594	152.49884	0	Duplopiviricetes	Durnavirales	Fungi	Pisuviricota
T0-R-Dry-soil-A_NODE_319_length_1748_cov_16.115086	2542.4866	2050.5266	4249.1978	3059.2388	2476.547	2352.7266	8935.873	5731.733	4010.4014	2554.508	4985.6245	4909.149	1528.8649	5287.9297	2054.9673	1493.5181	2112.4697	8173.196	2899.1985	2319.3806	2649.1216	2253.1448	1722.5157	1901.6711	1621.9642	1695.316	1304.4634	3171.9934	1887.8458	4029.4211	2164.739	3048.4785	1271.4191	1822.1688	2066.596	1054.7883	1085.6895	1278.262	1769.6736	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_320_length_1748_cov_5.425760	681.4322	174.5129	192.1376	281.52505	546.77014	637.5953	341.97922	542.5097	633.2212	394.96133	176.05737	0	0	0	251.62866	0	294.46545	1458.5162	326.4863	221.67531	319.65268	0	0	55.28114	0	102.12748	0	583.4978	860.74194	931.59314	565.0002	623.55237	0	0	0	0	236.79646	60.187218	389.32822	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_327_length_1741_cov_13.328144	1960.5266	1394.4159	1068.4253	282.65698	177.60747	384.0953	285.3853	1261.078	821.1992	115.12722	779.3739	610.65857	0	683.5362	130.9987	0	89.980255	2044.6068	4680.9697	173.10735	413.20752	209.74075	0	0	366.326	82.03048	400.28616	1925.806	784.3185	952.2425	181.39507	2086.865	249.36884	92.867775	571.431	393.49255	85.23061	253.22717	0	Alsuviricetes	Martellivirales	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_332_length_1735_cov_29.036058	1805.7681	1384.5864	1779.4218	340.36133	469.85712	167.01689	554.84625	522.81055	232.59169	487.77377	177.37653	817.02716	0	319.29828	225.34581	755.9889	245.07674	873.3492	467.0843	541.79724	205.30544	0	0	0	160.40414	185.20685	232.54602	675.425	0	418.40018	321.02127	395.54877	256.18912	372.75574	835.059	843.32874	261.0774	280.09067	196.12268	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_338_length_1730_cov_6.565401	919.95825	0	0	0	0	0	0	0	0	1332.3813	937.961	841.33636	0	0	150.66473	0	219.91292	0	0	0	0	241.22784	1195.1742	374.23734	53.62258	887.4347	0	0	0	0	0	0	53.775948	864.48895	122.82931	342.2175	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_342_length_1725_cov_1.489117	197.29083	0	179.72256	156.90329	162.95894	277.82153	243.02731	0	0	367.95108	364.91888	359.52155	299.43484	380.62137	174.71106	285.13928	188.11649	0	0	108.15565	0	370.4508	254.08926	285.69293	315.9458	155.23376	95.68396	119.5136	0	0	139.80469	0	0	224.94997	139.98332	186.31369	0	116.17088	0	Amabiliviricetes	Wolframvirales	Bacteria	Lenarviricota
T0-R-Dry-soil-A_NODE_351_length_1709_cov_9.367521	1030.8317	959.4125	801.2062	239.95796	0	886.9178	472.4346	494.57584	236.13026	143.3458	523.8547	607.28107	262.81583	1002.48224	438.48376	391.12485	399.39786	1857.7135	561.01385	310.70956	776.49976	0	334.5236	310.98468	261.22968	402.16354	207.46767	3257.078	702.8279	1337.4375	356.14377	0	223.7955	1140.0104	553.872	2380.4182	187.36246	1755.946	244.35786	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_360_length_1695_cov_33.414409	1275.5609	1732.2079	1646.1316	851.6286	630.2041	841.6408	632.06226	906.10315	516.97504	197.08606	387.88327	679.50024	185.49059	496.30252	701.6022	468.76202	607.3459	1489.932	646.45447	867.85895	395.57724	477.02985	438.47256	467.4795	126.56274	221.17377	266.88644	422.5003	835.441	486.14877	741.8839	778.01105	368.95834	276.62543	558.4468	518.9361	320.2255	458.12964	538.3775	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_366_length_1688_cov_5.222635	764.95233	1152.0642	107.13616	0	0	92.43621	0	97.70317	245.89839	0	0	0	0	0	0	0	0	2051.8088	256.94937	119.0284	0	0	118.539856	0	0	126.90912	0	0	0	0	108.85267	143.49257	0	0	68.6648	0	0	2211.1094	0	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T0-R-Dry-soil-A_NODE_385_length_1670_cov_2.689806	479.50223	258.7737	518.2494	0	0	0	195.24649	0	0	173.3649	251.29146	98.52463	0	0	87.793785	0	0	0	0	68.74933	0	0	239.63507	81.008385	62.492783	0	87.85354	0	0	0	79.08114	0	0	140.38327	225.56593	182.32083	0	89.99766	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_398_length_1655_cov_2.691288	459.6558	145.91951	140.49309	0	0	0	0	0	278.66833	0	0	0	0	0	0	0	0	0	0	52.02933	0	118.19982	0	0	0	0	0	91.78736	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_457_length_1581_cov_4.125828	690.09955	699.4314	555.594	108.941826	0	0	0	0	0	0	0	0	0	0	113.34401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chunqiuviricetes	Muvirales	Invertebrates	Negarnaviricota
T0-R-Dry-soil-A_NODE_465_length_1575_cov_7.047207	1035.915	992.6182	1648.5266	249.9585	0	183.98369	266.1728	0	0	381.78384	230.92221	289.29428	190.11736	221.46272	248.23808	112.10606	184.71864	427.58685	260.89053	100.23217	159.64368	372.61087	362.98465	343.57843	154.61177	204.02151	318.27155	254.90244	232.80101	224.22372	452.0669	170.8751	223.14645	205.3115	312.76273	531.6244	138.84117	248.10782	78.56227	Chunqiuviricetes	Chunqiuviricetes	Invertebrates	Negarnaviricota
T0-R-Dry-soil-A_NODE_476_length_1566_cov_39.652174	2786.8389	982.0901	2334.3994	429.46655	161.55411	377.1991	381.72394	210.62958	213.51671	5091.2637	491.29672	404.1068	401.54092	537.18567	473.32272	467.10855	693.1032	552.91394	255.1013	146.63013	156.10114	474.68625	468.50748	796.00604	129.58363	427.4876	331.81168	429.58862	1130.326	0	0	0	270.6349	108.408	357.73517	999.149	107.222885	83.1779	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_482_length_1557_cov_31.531629	3953.6992	391.84143	597.3438	0	252.75906	143.16205	94.736084	0	0	0	0	780.37	0	283.3232	177.86809	0	848.0303	216.26503	0	46.08678	0	0	0	0	119.16129	0	0	0	0	0	0	1019.8182	199.1702	0	111.662994	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_489_length_1553_cov_5.196356	586.5257	294.63797	432.52612	242.93697	352.96402	244.00233	0	172.56908	193.0312	0	0	0	390.44138	0	0	422.29257	273.79788	0	0	0	0	277.1188	0	0	201.60262	0	0	0	0	214.76677	62.85488	303.26758	0	0	0	136.15038	0	0	109.5534	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_519_length_1531_cov_4.528767	666.87146	0	0	0	0	0	8518.919	0	0	2327.443	146.19002	2819.0132	0	0	2340.9128	0	0	0	0	0	0	0	2719.7178	21762.586	0	0	0	0	8283.105	3094.7927	0	0	0	0	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_525_length_1526_cov_2.351203	360.76575	249.87595	330.13422	145.1164	138.15736	116.85626	234.0204	0	0	0	0	132.70381	58.866608	107.5642	181.4814	181.8234	219.98076	0	0	122.259834	109.846565	256.38364	212.29607	221.63171	0	163.77875	176.26361	0	190.56395	0	109.12017	123.45335	50.804058	307.2609	177.2266	116.38983	66.531845	85.35819	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_567_length_1498_cov_4.577435	674.8802	0	0	175.20456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251.77449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_586_length_1482_cov_17.568391	2242.3687	746.1545	0	0	237.09866	0	0	208.6576	466.7977	0	0	0	0	0	0	919.08813	143.45753	0	215.6484	290.51465	207.36443	0	0	0	0	0	111.37304	827.33813	187.69035	7062.7827	0	0	80.212364	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-A_NODE_642_length_1445_cov_8.356623	1025.2057	1205.065	858.19086	465.4288	564.1537	1264.9186	521.13983	813.2014	462.79193	608.7845	503.3944	1024.7926	316.0125	511.17184	727.15936	811.7021	743.39795	798.9512	1848.351	536.31616	623.5218	1949.4382	1615.5328	1210.4005	585.8128	759.786	401.9021	555.6697	1242.4758	997.95074	1112.6326	1173.362	321.91138	889.5351	1711.1871	1252.5532	626.9471	773.1494	4388.5454	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
