asv	1-Dry-Soil	2-Dry-Soil	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
3fa6b8d6286f9fad2022a4bbf4c1b29b	0.0	24.0	0.0	0.0	0.0	17.0	0.0	10.0	10.0	61.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	0.0	0.0	7.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0
8e60f592a485182490b585132d16f4a8	0.0	0.0	0.0	0.0	7.0	27.0	4.0	0.0	24.0	0.0	9.0	11.0	8.0	7.0	7.0	5.0	0.0	12.0	6.0	0.0	0.0	7.0	11.0	23.0	5.0	3.0	0.0	4.0	6.0	0.0
b7418791055e0589b0245b4568490f8f	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	15.0	0.0	0.0	0.0	17.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93e9cec15e41fe5421f034dd14f93daa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0
29b2310387f4d7f672d3ddad64cb7ec1	42.0	11.0	0.0	6.0	4.0	18.0	0.0	0.0	0.0	11.0	11.0	9.0	11.0	12.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0	7.0	0.0	0.0	0.0	0.0	0.0	6.0	10.0
1ba099cb23b110086a61545283f8c913	0.0	0.0	0.0	13.0	0.0	0.0	26.0	9.0	0.0	0.0	7.0	0.0	12.0	7.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	24.0	0.0	49.0
7b4f004951d615f8848d7e88d7bedaa3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17bc0c303221cfc5be3313a51218a802	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	96.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3dc13037e5b451c3d19f6344d3ee36b3	19.0	3.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	3.0	0.0	10.0	9.0	0.0	0.0	11.0	0.0	0.0	0.0
3956a56ffc27f31e93b6a973eb6c5dd2	0.0	0.0	0.0	0.0	14.0	12.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	22.0	0.0	0.0	16.0	11.0	0.0	10.0	13.0	0.0	2.0	4.0	10.0
