asv	superkingdom	phylum	class	order	family	genus	species
a43460bc41b2913c4397243c1e412cae	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis moniliformis
a4c5c396a120be641c418d024a8da169	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora boppii
a4df82a8ae70f5349c398597ec6a468d	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis moniliformis
a50d14b6bd0a79b57195746287980ffe	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	Bulleribasidium variabile
a5e914d4b4f00304bd5c651332d5b56d	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria	Genolevuria armeniaca
a66b4b301ce336546fec1ea21e1d0397	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Bhagirathimyces	Bhagirathimyces himalayensis
a6886fa53d4eeabb6992976c6532e525	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale
a6c4eb0775fe6dda141831ea1e71177b	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Candida/Saccharomycetales	[Candida] blankii
a7c3c4ddb6306dcefe41ab0a311146cd	Eukaryota	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Jimgerdemannia	Jimgerdemannia lactiflua
a874e8c6f074d867447be91c6c8f5387	Eukaryota	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	Olpidium brassicae
a88f7cbead3ef44d30c40222ca221e4e	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sarnyensis
a8cf1093de4c373e2810cb93d887bae2	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma podzolica
a958c6c805a90e3002421d320ee9e900	Eukaryota	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Heliocybe	Heliocybe villosa
a997f0c77aacee956d61ba72b22e42e3	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Thelonectria	Thelonectria nodosa
a99ca1a686e1b4a03996e0893a07a5d7	Eukaryota	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Sclerococcum	Sclerococcum tardum
a9f0f4f6811705ca0647bf1f4d5a80f5	Eukaryota	Basidiomycota	Agaricomycetes	Auriculariales	Aporpiaceae	Aporpium	Aporpium miniporum
aabdbd99c02ed6528d5dec5d4c05a389	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus macrocarpum
ac5e78efc9c2c1f719dd398aacf1696a	Eukaryota	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta cymbiformispora
ac6a2e50707c62402423ffd370351248	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes sanguinea
